Month,Biller,Consumption,Price,CpU
Oct-23,Meralco,230,2801.4,12.18
Nov-23,Meralco,300,3717,12.39
Dec-23,Meralco,251,2914.11,11.61
Jan-24,Meralco,244,2847.48,11.67
Feb-24,Meralco,223,2738.44,12.28
Oct-23,Maynilad,10,135,13.5
Nov-23,Maynilad,10,135,13.5
Dec-23,Maynilad,7,153.06,21.86571429
Jan-24,Maynilad,8,135.87,16.98375
Feb-24,Maynilad,9,162.5,18.05555556
Oct-23,PLDT,1,1499,1499
Nov-23,PLDT,1,1499,1499
Dec-23,PLDT,1,1499,1499
Jan-24,PLDT,1,1499,1499
Feb-24,PLDT,1,1499,1499
Oct-23,Rent,1,9000,9000
Nov-23,Rent,1,9000,9000
Dec-23,Rent,1,9000,9000
Jan-24,Rent,1,9000,9000
Feb-24,Rent,1,9000,9000
,,,,
